序号,专项,报警编号,报警等级,现场工作人员核实-是否误报,综合研判-误报,研判备注,现场核实内容,报警状态,监测指标,设备标识码,设备名称,设施名称,报警生成时间,初次报警时间,初次报警值,报警阈值,当前报警值,报警核实时间,操作人员,报警处置时间,处置内容,操作人员.1,消警时间,消警内容,回复附件,初次报警时间.1,报警前10次推送值,推送时间10,报警前9次推送值,推送时间9,报警前8次推送值,推送时间8,报警前7次推送值,推送时间7,报警前6次推送值,推送时间6,报警前5次推送值,推送时间5,报警前4次推送值,推送时间4,报警前3次推送值,推送时间3,报警前2次推送值,推送时间2,报警前1次推送值,推送时间1,报警后1次推送值,推送时间2-1,报警后2次推送值,推送时间2-2,报警后3次推送值,推送时间2-3,报警后4次推送值,推送时间2-4,报警后5次推送值,推送时间2-5,报警后6次推送值,推送时间2-6,报警后7次推送值,推送时间2-7,报警后8次推送值,推送时间2-8,报警后9次推送值,推送时间2-9,报警后10次推送值,推送时间2-10
1,燃气爆炸,RQ012007618261117788163,3,是,误报,,误报,消警,RQ0101,YQ-RQ-01-0133,激光可燃气体探测仪-33,管网,2026-01-04 09:01:08,2026-01-04 08:50:48,4.0,0.0,4.0,2026-01-04 09:28:12,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],http://121.236.214.143:18081/prod-minio/urbanlifeline-file/123456_1767490067550.jpg,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0.0,2026-01-04 11:50:47,0.0,2026-01-04 14:50:47,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,
2,燃气爆炸,RQ012007314501401272322,2,否,非误报,设备调试,年度检验测试,消警,RQ0101,SZS320000RQ202511174d1ede86,港城储配站可燃气体浓度,储配站,2026-01-03 12:54:06,2026-01-03 09:28:15,45.0,20.0,45.0,2026-01-03 13:05:33,qianxianfeng,2026-01-03 13:06:16,年度检验测试,qianxianfeng,2026-01-03 13:06:46,年度检验测试,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767416718407.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767416732331.jpg",8.0,2026-01-03 09:28:03,0.0,2026-01-03 09:27:10,0.0,2026-01-03 09:27:09,0.0,2026-01-03 09:27:07,0.0,2026-01-03 09:26:59,0.0,2026-01-03 09:26:57,0.0,2026-01-03 09:26:47,0.0,2026-01-03 09:24:21,0.0,2026-01-03 09:24:07,0.0,2026-01-03 09:24:01,31.0,2026-01-03 09:28:18,0.0,2026-01-03 09:32:23,0.0,2026-01-03 09:33:57,0.0,2026-01-03 09:33:57,0.0,2026-01-03 09:43:58,0.0,2026-01-03 09:53:58,0.0,2026-01-03 09:53:59,0.0,2026-01-03 10:03:58,0.0,2026-01-03 10:03:59,0.0,2026-01-03 10:13:59,
3,燃气爆炸,RQ012007314279644225538,2,否,非误报,设备调试,年度检验测试,消警,RQ0101,SZS320000RQ20251117d49c7e86,港城储配站可燃气体浓度,储配站,2026-01-03 12:53:13,2026-01-03 09:24:01,21.0,20.0,21.0,2026-01-03 13:03:12,qianxianfeng,2026-01-03 13:03:50,年度检验测试,qianxianfeng,2026-01-03 13:04:23,年度检验测试,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767416581767.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767416590884.jpg",4.0,2026-01-03 09:23:59,0.0,2026-01-03 09:23:57,0.0,2026-01-03 09:21:07,0.0,2026-01-03 09:21:05,0.0,2026-01-03 09:21:01,0.0,2026-01-03 09:20:59,0.0,2026-01-03 09:20:49,0.0,2026-01-03 09:20:45,0.0,2026-01-03 09:18:03,0.0,2026-01-03 09:18:01,46.0,2026-01-03 09:24:03,34.0,2026-01-03 09:24:09,0.0,2026-01-03 09:26:49,0.0,2026-01-03 09:26:53,0.0,2026-01-03 09:26:59,0.0,2026-01-03 09:27:01,0.0,2026-01-03 09:27:05,0.0,2026-01-03 09:27:15,0.0,2026-01-03 09:28:03,0.0,2026-01-03 09:28:05,
4,燃气爆炸,RQ012007298046819553282,2,否,非误报,设备调试,泄漏报警器年检测试,消警,RQ0101,SZS320000RQ20251117d23565e1,港城储配站可燃气体浓度,储配站,2026-01-03 11:48:43,2026-01-03 09:17:53,39.0,20.0,39.0,2026-01-03 12:00:38,qianxianfeng,2026-01-03 12:06:57,泄漏报警器年检测试,qianxianfeng,2026-01-03 12:14:54,年度检验测试,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767412824063.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767412836909.jpg",4.0,2026-01-03 09:17:31,5.0,2026-01-03 09:17:29,0.0,2026-01-03 09:16:29,0.0,2026-01-03 09:16:25,0.0,2026-01-03 09:16:21,0.0,2026-01-03 09:15:04,0.0,2026-01-03 09:15:02,0.0,2026-01-03 09:15:00,0.0,2026-01-03 09:14:54,0.0,2026-01-03 09:14:52,12.0,2026-01-03 09:18:01,7.0,2026-01-03 09:18:05,5.0,2026-01-03 09:18:07,0.0,2026-01-03 09:20:45,0.0,2026-01-03 09:20:55,0.0,2026-01-03 09:20:56,0.0,2026-01-03 09:21:05,0.0,2026-01-03 09:21:07,0.0,2026-01-03 09:21:09,0.0,2026-01-03 09:23:57,
5,燃气爆炸,RQ012007297867806658561,2,否,非误报,设备调试,泄漏报警年度检验测试,消警,RQ0101,SZS320000RQ20251117984a5f2b,港城储配站可燃气体浓度,储配站,2026-01-03 11:48:01,2026-01-03 09:14:46,54.0,20.0,54.0,2026-01-03 11:59:27,qianxianfeng,2026-01-03 12:05:54,泄露报警器年检测试,qianxianfeng,2026-01-03 12:13:26,年度检验测试,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767412745902.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767412761433.jpg",0.0,2026-01-03 09:13:56,0.0,2026-01-03 09:13:56,0.0,2026-01-03 09:03:56,0.0,2026-01-03 09:03:55,0.0,2026-01-03 08:53:55,0.0,2026-01-03 08:53:54,0.0,2026-01-03 08:52:09,0.0,2026-01-03 08:43:55,0.0,2026-01-03 08:43:54,0.0,2026-01-03 08:39:17,53.0,2026-01-03 09:14:48,25.0,2026-01-03 09:14:54,25.0,2026-01-03 09:15:00,11.0,2026-01-03 09:15:06,0.0,2026-01-03 09:16:22,0.0,2026-01-03 09:16:25,0.0,2026-01-03 09:16:27,0.0,2026-01-03 09:17:27,0.0,2026-01-03 09:17:31,0.0,2026-01-03 09:17:41,
6,燃气爆炸,RQ012007294999661891585,3,否,非误报,设备调试,本公司8点30分泄漏报警系统年度检测。报警采生11点35分。已处理,消警,RQ0101,SZS320000RQ202511172fab7c13,港城储配站可燃气体浓度,储配站,2026-01-03 11:36:36,2026-01-03 08:38:42,12.0,10.0,12.0,2026-01-03 11:48:45,qianxianfeng,2026-01-03 12:04:47,泄漏报警器年检测试,qianxianfeng,2026-01-03 12:11:44,年度检验测试,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767412114615.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/image_1767412123531.jpg",8.0,2026-01-03 08:38:38,4.0,2026-01-03 08:38:37,0.0,2026-01-03 08:33:53,0.0,2026-01-03 08:23:54,0.0,2026-01-03 08:23:53,0.0,2026-01-03 08:13:53,0.0,2026-01-03 08:13:52,0.0,2026-01-03 08:03:52,0.0,2026-01-03 07:53:52,0.0,2026-01-03 07:53:51,6.0,2026-01-03 08:39:00,5.0,2026-01-03 08:39:05,4.0,2026-01-03 08:39:06,0.0,2026-01-03 08:43:55,0.0,2026-01-03 08:52:07,0.0,2026-01-03 08:53:54,0.0,2026-01-03 08:53:55,0.0,2026-01-03 09:03:55,0.0,2026-01-03 09:03:56,0.0,2026-01-03 09:13:56,
7,燃气爆炸,RQ012006871298231488514,3,否,误报,回填不一致，以文字图片为主,误报,消警,RQ0101,SZS320000RQ20251117e8963658,苏州和平新能源储配站可燃气体卸车区,储配站,2026-01-03 10:55:09,2026-01-02 07:32:57,12.0,10.0,12.0,2026-01-03 11:34:34,yuzhili,2026-01-03 11:35:21,误报,yuzhili,2026-01-03 11:35:57,误报,"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/IMG_20260103113357909_1767411256567.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/IMG_20260103113419673_1767411264505.jpg",0.0,2026-01-02 07:22:57,0.0,2026-01-02 07:12:57,0.0,2026-01-02 07:02:57,0.0,2026-01-02 06:52:57,0.0,2026-01-02 06:42:57,0.0,2026-01-02 06:32:57,0.0,2026-01-02 06:22:57,0.0,2026-01-02 06:12:57,0.0,2026-01-02 06:02:57,0.0,2026-01-02 05:52:57,0.0,2026-01-02 07:42:57,0.0,2026-01-02 07:52:57,0.0,2026-01-02 08:02:57,0.0,2026-01-02 08:12:57,0.0,2026-01-02 08:22:57,0.0,2026-01-02 08:32:57,0.0,2026-01-02 08:42:57,0.0,2026-01-02 08:52:57,0.0,2026-01-02 09:02:57,0.0,2026-01-02 09:12:57,
8,燃气爆炸,RQ012006871288026718209,3,否,误报,回填不一致，以文字图片为主,误报,消警,RQ0101,SZS320000RQ2025111795336323,苏州和平新能源储配站可燃气体卸车区,储配站,2026-01-03 10:55:08,2026-01-02 07:32:55,12.0,10.0,12.0,2026-01-03 11:05:25,pengweiwei,2026-01-03 11:09:13,误报,pengweiwei,2026-01-03 11:14:35,误报,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/Screenshot_20260103_110511_com.wecon.iiot_1767409524650.jpg,0.0,2026-01-02 07:22:55,0.0,2026-01-02 07:12:55,0.0,2026-01-02 07:02:55,0.0,2026-01-02 06:52:55,0.0,2026-01-02 06:42:55,0.0,2026-01-02 06:32:55,0.0,2026-01-02 06:22:55,0.0,2026-01-02 06:12:55,0.0,2026-01-02 06:02:55,0.0,2026-01-02 05:52:55,0.0,2026-01-02 07:42:55,0.0,2026-01-02 07:52:55,0.0,2026-01-02 08:02:55,0.0,2026-01-02 08:12:55,0.0,2026-01-02 08:22:55,0.0,2026-01-02 08:32:55,0.0,2026-01-02 08:42:55,0.0,2026-01-02 08:52:55,0.0,2026-01-02 09:02:55,0.0,2026-01-02 09:12:55,
9,燃气爆炸,RQ012006500640670572546,3,是,误报,,已现场核实与查看远传记录为误报,消警,RQ0101,WZGCKRBJ01-7549,吴中罐场1#可燃气体报警浓度,北侧东侧瓶库,2026-01-01 07:00:07,2026-01-01 07:00:00,18.0,10.0,18.0,2026-01-01 08:52:24,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/7f0b09bbdf0ba9d52d9a9515940ad292_1767228561389.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/55b63ddd5b55e09512d0195bbe329f46_1767228742958.jpg",1.4e-44,2026-01-01 06:40:00,1.4e-44,2026-01-01 06:20:00,1.4e-44,2026-01-01 06:00:00,1.4e-44,2026-01-01 05:40:00,1.4e-44,2026-01-01 04:20:01,1.4e-44,2026-01-01 04:00:01,1.4e-44,2026-01-01 03:40:06,1.4e-44,2026-01-01 03:20:00,1.4e-44,2026-01-01 03:00:01,1.4e-44,2026-01-01 03:00:00,1.4e-44,2026-01-01 07:20:00,1.4e-44,2026-01-01 07:40:00,1.4e-44,2026-01-01 08:00:00,1.4e-44,2026-01-01 08:20:00,1.4e-44,2026-01-01 08:40:00,1.4e-44,2026-01-01 09:00:00,1.4e-44,2026-01-01 09:20:00,1.4e-44,2026-01-01 09:40:00,1.4e-44,2026-01-01 10:00:00,1.4e-44,2026-01-01 10:00:01,
10,燃气爆炸,RQ012006500642826444805,3,是,误报,,已现场查验为误报,消警,RQ0101,WZGCKRBJ01-7550,吴中罐场2#可燃气体报警浓度,北侧东侧瓶库,2026-01-01 07:00:07,2026-01-01 07:00:00,16.0,10.0,16.0,2026-01-01 08:48:10,[NULL],[NULL],[NULL],[NULL],[NULL],[NULL],"http://121.236.214.143:18081/prod-minio/urbanlifeline-file/7f0b09bbdf0ba9d52d9a9515940ad292_1767228374108.jpg,http://121.236.214.143:18081/prod-minio/urbanlifeline-file/4e6a6966059004d2ba441976508d2975_1767228374141.jpg",9.1837e-41,2026-01-01 06:40:00,9.1837e-41,2026-01-01 06:20:00,9.1837e-41,2026-01-01 06:00:00,9.1837e-41,2026-01-01 05:40:00,9.1837e-41,2026-01-01 04:20:01,9.1837e-41,2026-01-01 04:00:01,9.1837e-41,2026-01-01 03:40:06,9.1837e-41,2026-01-01 03:20:00,9.1837e-41,2026-01-01 03:00:01,9.1837e-41,2026-01-01 03:00:00,9.1837e-41,2026-01-01 07:20:00,9.1837e-41,2026-01-01 07:40:00,9.1837e-41,2026-01-01 08:00:00,9.1837e-41,2026-01-01 08:20:00,9.1837e-41,2026-01-01 08:40:00,9.1837e-41,2026-01-01 09:00:00,9.1837e-41,2026-01-01 09:20:00,9.1837e-41,2026-01-01 09:40:00,9.1837e-41,2026-01-01 10:00:00,9.1837e-41,2026-01-01 10:00:01,
