source,label_type,label,sbbsm,jczb_code,alarm_time,threshold,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,v_19,v_20,valid_cnt,win_mean,win_max,win_min,win_std,win_zero_rate,win_above_thr_cnt,win_above_80_rate,win_above_50_rate,win_max_ratio,win_last_ratio,win_range,win_first_last_diff,win_max_jump,win_diff_mean,win_rising_rate,win_fall_rate,win_skew,win_kurtosis,win_max_pos,win_max_pos_rate,win_max_near_end,head_zero_cnt,tail_zero_cnt,max_consecutive_zero,early_mean,early_max,early_std,early_zero_rate,mid_mean,mid_max,mid_std,mid_zero_rate,late_mean,late_max,late_std,late_zero_rate,late_early_mean_diff,late_early_max_diff
event,false_alarm,0,YQ-RQ-01-0133,RQ0101,2026-01-04 08:50:48,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,4.0,4.0,4.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
event,true_alarm,1,SZS320000RQ202511174d1ede86,RQ0101,2026-01-03 09:28:15,20.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,45.0,45.0,45.0,0.0,0.0,20,1.0,1.0,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,45.0,45.0,0.0,0.0,45.0,45.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0
event,true_alarm,1,SZS320000RQ20251117d49c7e86,RQ0101,2026-01-03 09:24:01,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,1,21.0,21.0,21.0,0.0,0.0,20,1.0,1.0,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,21.0,21.0,0.0,0.0,21.0,21.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0
event,true_alarm,1,SZS320000RQ20251117d23565e1,RQ0101,2026-01-03 09:17:53,20.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1,39.0,39.0,39.0,0.0,0.0,20,1.0,1.0,1.95,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,39.0,39.0,0.0,0.0,39.0,39.0,0.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0
event,true_alarm,1,SZS320000RQ20251117984a5f2b,RQ0101,2026-01-03 09:14:46,20.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,1,54.0,54.0,54.0,0.0,0.0,20,1.0,1.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,54.0,54.0,0.0,0.0,54.0,54.0,0.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0
event,true_alarm,1,SZS320000RQ202511172fab7c13,RQ0101,2026-01-03 08:38:42,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1,12.0,12.0,12.0,0.0,0.0,20,1.0,1.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
event,false_alarm,0,SZS320000RQ20251117e8963658,RQ0101,2026-01-02 07:32:57,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1,12.0,12.0,12.0,0.0,0.0,20,1.0,1.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
event,false_alarm,0,SZS320000RQ2025111795336323,RQ0101,2026-01-02 07:32:55,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1,12.0,12.0,12.0,0.0,0.0,20,1.0,1.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
event,false_alarm,0,WZGCKRBJ01-7549,RQ0101,2026-01-01 07:00:00,10.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,1,18.0,18.0,18.0,0.0,0.0,20,1.0,1.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
event,false_alarm,0,WZGCKRBJ01-7550,RQ0101,2026-01-01 07:00:00,10.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1,16.0,16.0,16.0,0.0,0.0,20,1.0,1.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05,0,0,0,0,16.0,16.0,0.0,0.0,16.0,16.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0
