feature,importance,contribution,group
mid_max,41.097171783447266,0.13461478535207932,窗口统计特征
win_max_pos,36.830657958984375,0.12063971559039133,窗口统计特征
v_8,26.135379791259766,0.08560707192295251,20次原始流水值
mid_std,16.060832977294922,0.05260764889629104,窗口统计特征
early_zero_rate,12.325653076171875,0.040372976318564,窗口统计特征
max_consecutive_zero,10.214578628540039,0.03345810063982741,窗口统计特征
valid_cnt,9.999089241027832,0.032752259911943304,窗口统计特征
v_16,9.575981140136719,0.03136635904065455,20次原始流水值
v_11,8.748570442199707,0.028656155183131044,20次原始流水值
v_17,5.987573146820068,0.01961244141534083,20次原始流水值
v_20,5.905039310455322,0.019342099827723384,20次原始流水值
win_max_pos_rate,5.290224552154541,0.01732825913921925,窗口统计特征
win_max,4.775187015533447,0.015641241166161623,窗口统计特征
early_std,4.542182922363281,0.014878030594068411,窗口统计特征
win_first_last_diff,4.466545581817627,0.014630278646177526,窗口统计特征
win_diff_mean,4.419847011566162,0.0144773163439594,窗口统计特征
win_rising_rate,4.40324068069458,0.014422921903447948,窗口统计特征
win_range,4.066527366638184,0.013320009256910424,窗口统计特征
v_12,3.9469311237335205,0.012928268855591354,20次原始流水值
win_fall_rate,3.930856466293335,0.012875615924330758,窗口统计特征
v_9,3.621619462966919,0.011862702601607362,20次原始流水值
mid_mean,3.318084478378296,0.010868466379889995,窗口统计特征
jczb_PS0101,3.252795696258545,0.010654611386722586,监测指标类型
win_skew,3.247359275817871,0.010636804259396133,窗口统计特征
late_std,3.1599080562591553,0.010350355663572914,窗口统计特征
v_1,3.13889217376709,0.010281517629521302,20次原始流水值
win_kurtosis,2.8170626163482666,0.00922735708971163,窗口统计特征
early_max,2.799247980117798,0.009169004815620208,窗口统计特征
v_6,2.7002573013305664,0.00884475844054077,20次原始流水值
tail_zero_cnt,2.688436985015869,0.00880604070707042,窗口统计特征
win_mean,2.657170057296753,0.008703625125148964,窗口统计特征
late_early_mean_diff,2.640064001083374,0.00864759382213088,窗口统计特征
v_15,2.5998921394348145,0.008516009912622238,20次原始流水值
v_4,2.4859678745269775,0.008142848213131793,20次原始流水值
early_mean,2.4121127128601074,0.007900933835487609,窗口统计特征
v_13,2.385634660720825,0.007814204331957482,20次原始流水值
win_max_jump,2.3735430240631104,0.007774597882107101,窗口统计特征
v_10,2.332224130630493,0.007639256842102556,20次原始流水值
win_std,2.3280434608459473,0.007625562956580701,窗口统计特征
v_19,2.3171751499176025,0.00758996353989899,20次原始流水值
head_zero_cnt,2.3152267932891846,0.007583581650393166,窗口统计特征
jczb_RQ0101,2.300307273864746,0.007534712401787454,监测指标类型
late_early_max_diff,2.2410550117492676,0.007340630176656992,窗口统计特征
v_2,2.193603277206421,0.00718520086649113,20次原始流水值
win_min,2.0849103927612305,0.006829174680894074,窗口统计特征
v_14,2.0643155574798584,0.006761715797217802,20次原始流水值
v_7,1.8106093406677246,0.005930694915814738,20次原始流水值
late_mean,1.7607698440551758,0.005767444432937077,窗口统计特征
mid_zero_rate,1.7087743282318115,0.005597131856716152,窗口统计特征
v_18,1.6903753280639648,0.005536865484340496,20次原始流水值
late_zero_rate,1.6021071672439575,0.005247740977554024,窗口统计特征
late_max,1.5589218139648438,0.005106286302943955,窗口统计特征
win_zero_rate,1.4323503971099854,0.004691698549767035,窗口统计特征
v_5,1.3244153261184692,0.004338154600561837,20次原始流水值
v_3,1.2093318700790405,0.003961195942337018,20次原始流水值
win_max_near_end,0.0,0.0,窗口统计特征
