"bsm","sbbsm","jczb","bjyz","pdgz","bjjb","sjlx","bz","create_by","create_time","update_by","update_time","delete_flag","zxlx","group_id","plzhbsm","order_num","yzsx","yzxx","max_threshold","min_threshold"
"1868915675704221700","311117513000",RQ0101,20.000000,4,3,rq_sjlx_1,,725,2024-12-17 15:06:34.565,725,2024-12-17 15:06:34.565,1,1,1,"1868915675704221698",2,,,,
"1868915675704221699","311117513000",RQ0101,5.000000,1,3,rq_sjlx_1,,725,2024-12-17 15:06:34.565,725,2024-12-17 15:06:34.565,1,1,1,"1868915675704221698",1,,,,
"1940323677962940418",HPJYJKYB08-420,RQ0201,0.030000,4,3,rq_sjlx_2,,6971,2025-07-02 16:16:28.958,6971,2025-07-02 16:16:28.958,1,1,1,"1940323677962940417",1,0.000,0.000,,
"1953468291964194818","1000000000000264827",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:48:29.151,783,2025-08-07 22:48:29.151,1,1,1,"1953468291964194817",1,0.000,0.000,,
"1953468292282961923","1000000000000264827",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:48:29.226,783,2025-08-07 22:48:29.226,1,1,1,"1953468292282961922",1,0.000,0.000,,
"1953468292282961924","1000000000000264827",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:48:29.226,783,2025-08-07 22:48:29.226,1,1,1,"1953468292282961922",2,0.000,0.000,,
"1953468292555591683","1000000000000264827",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:48:29.291,783,2025-08-07 22:48:29.291,1,1,1,"1953468292555591682",1,0.000,0.000,,
"1953468292555591684","1000000000000264827",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:48:29.291,783,2025-08-07 22:48:29.291,1,1,1,"1953468292555591682",2,0.000,0.000,,
"1953469959623659523","1000000000000264835",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:55:06.752,783,2025-08-07 22:55:06.752,1,1,1,"1953469959623659522",1,0.000,0.000,,
"1953470885348503554","1000000000000264842",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:58:47.462,783,2025-08-07 22:58:47.462,1,1,1,"1953470885348503553",1,0.000,0.000,,
"1953470885608550402","1000000000000264842",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:58:47.522,783,2025-08-07 22:58:47.522,1,1,1,"1953470885608550401",1,0.000,0.000,,
"1953470885608550403","1000000000000264842",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:58:47.522,783,2025-08-07 22:58:47.522,1,1,1,"1953470885608550401",2,0.000,0.000,,
"1953470885826654210","1000000000000264842",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:58:47.575,783,2025-08-07 22:58:47.575,1,1,1,"1953470885826654209",1,0.000,0.000,,
"1953470885826654211","1000000000000264842",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:58:47.575,783,2025-08-07 22:58:47.575,1,1,1,"1953470885826654209",2,0.000,0.000,,
"1953471167478329347","1000000000000264844",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:59:54.726,783,2025-08-07 22:59:54.726,1,1,1,"1953471167478329346",1,0.000,0.000,,
"1953471167704821763","1000000000000264844",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:59:54.780,783,2025-08-07 22:59:54.780,1,1,1,"1953471167704821762",1,0.000,0.000,,
"1953471167704821764","1000000000000264844",RQ0101,80.000000,4,2,rq_sjlx_1,,783,2025-08-07 22:59:54.780,783,2025-08-07 22:59:54.780,1,1,1,"1953471167704821762",2,0.000,0.000,,
"1953471167943897090","1000000000000264844",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:59:54.836,783,2025-08-07 22:59:54.836,1,1,1,"1953471167943897089",1,0.000,0.000,,
"1953468766520340482","1000000000000264828",RQ0101,20.000000,2,3,rq_sjlx_1,,783,2025-08-07 22:50:22.295,783,2025-08-07 22:50:22.295,1,1,1,"1953468766520340481",1,0.000,0.000,,
"1953468766520340483","1000000000000264828",RQ0101,50.000000,4,3,rq_sjlx_1,,783,2025-08-07 22:50:22.295,783,2025-08-07 22:50:22.295,1,1,1,"1953468766520340481",2,0.000,0.000,,
"1953469389772910595","1000000000000264831",RQ0101,80.000000,2,1,rq_sjlx_1,,783,2025-08-07 22:52:50.888,783,2025-08-07 22:52:50.888,1,1,1,"1953469389772910594",1,0.000,0.000,,
"1953469390095872002","1000000000000264831",RQ0101,50.000000,2,2,rq_sjlx_1,,783,2025-08-07 22:52:50.966,783,2025-08-07 22:52:50.966,1,1,1,"1953469390095872001",1,0.000,0.000,,
